date,gasoline,diesel
2019-04-01,1424.39,1316.42
2019-05-01,1517.22,1385.31
2019-06-01,1517.54,1379.77
2019-07-01,1491.5,1352.84
2019-08-01,1493.72,1351.92
2019-09-01,1529.27,1379.84
2019-10-01,1540.47,1387.73
2019-11-01,1535.65,1380.51
2019-12-01,1548.47,1385.42
2020-01-01,1568.44,1398.4
2020-02-01,1545.29,1369.85
2020-03-01,1469.06,1280.77
2020-04-01,1323.66,1132.44
2020-05-01,1255.08,1065.79
2020-06-01,1322.88,1127.9
2020-07-01,1360.25,1162.9
2020-08-01,1361.09,1163.56
2020-09-01,1352.47,1154.45
2020-10-01,1333.28,1133.96
2020-11-01,1319.59,1119.6
2020-12-01,1367.77,1168.32
2021-01-01,1441.84,1242.35
2021-02-01,1463.22,1263.36
2021-03-01,1513.27,1312.63
2021-04-01,1534.52,1332.74
2021-05-01,1541.51,1338.81
2021-06-01,1577.33,1374.36
2021-07-01,1629.26,1425.54
2021-08-01,1645.75,1440.54
2021-09-01,1642.68,1437.17
2021-10-01,1712.32,1509.29
2021-11-01,1737.39,1549.72
2021-12-01,1646.37,1468.9
2022-01-01,1635.22,1453.53
2022-02-01,1714.61,1536.64
2022-03-01,1938.46,1826.93
2022-04-01,1976.53,1906.42
2022-05-01,1967.07,1964.28
2022-06-01,2084,2089.03
2022-07-01,2029.99,2084.91
2022-08-01,1792.19,1889.31
2022-09-01,1730,1850.2
2022-10-01,1666.65,1838.34
2022-11-01,1650.32,1879.15
2022-12-01,1563.68,1783.21
2023-01-01,1562.93,1675.37
2023-02-01,1578.49,1606.41
2023-03-01,1592.25,1539.72
2023-04-01,1640.95,1535.7
2023-05-01,1628.81,1471.97
2023-06-01,1580.64,1394.48
2023-07-01,1585.48,1396.48
2023-08-01,1716.76,1573.16
2023-09-01,1769.15,1666.53
2023-10-01,1775.89,1690.31
2023-11-01,1684.05,1628.22
2023-12-01,1600.58,1526.31
2024-01-01,1569.25,1480.07
2024-02-01,1614.51,1517.75
2024-03-01,1639.1,1538.97
2024-04-01,1687.79,1557.77
